STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/15/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",25,",,0",16,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/16/75,,,,,,,0.26,",,0,0700",2.6,",,0,",3,",,0,",28,",,0",18,",,0",24,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/17/75,,,,,,,0.08,",,0,0700",0,",,0,",2,",,0,",33,",,0",22,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/18/75,,,,,,,0.43,",,0,0700",0,",,0,",2,",,0,",34,",,0",28,",,0",30,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/19/75,,,,,,,0.03,",,0,0700",0.3,",,0,",2,",,0,",34,",,0",27,",,0",27,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/20/75,,,,,,,0,",,0,0700",0,",,0,",2,",,0,",32,",,0",24,",,0",25,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/21/75,,,,,,,0,",,0,0700",0,",,0,",2,",,0,",36,",,0",24,",,0",25,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/22/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",43,",,0",24,",,0",40,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/23/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",42,",,0",32,",,0",34,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/24/75,,,,,,,0.36,",,0,0700",0,",,0,",0,",,0,",39,",,0",32,",,0",35,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/25/75,,,,,,,0.01,",,0,0700",0,",,0,",0,",,0,",44,",,0",27,",,0",28,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/26/75,,,,,,,0.01,",,0,0700",0,",,0,",0,",,0,",35,",,0",28,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/27/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",41,",,0",20,",,0",21,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/28/75,,,,,,,0.04,",,0,0700",0.4,",,0,",1,",,0,",30,",,0",20,",,0",30,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/1/75,,,,,,,0.01,",,0,0700",0,",,0,",0,",,0,",35,",,0",13,",,0",14,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/2/75,,,,,,,0,"T,,0,0700",0,",,0,",0,",,0,",27,",,0",13,",,0",18,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/3/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",27,",,0",16,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/4/75,,,,,,,0,"T,,0,0700",0,",,0,",0,",,0,",29,",,0",18,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/5/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",34,",,0",18,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/6/75,,,,,,,0.21,",,0,0700",2.1,",,0,",2,",,0,",35,",,0",19,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/7/75,,,,,,,0.15,",,0,0700",1.5,",,0,",3,",,0,",35,",,0",28,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/8/75,,,,,,,0.03,",,0,0700",0.3,",,0,",3,",,0,",36,",,0",18,",,0",18,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/9/75,,,,,,,0,",,0,0700",0,",,0,",,,24,",,0",8,",,0",11,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/10/75,,,,,,,0,",,0,0700",0,",,0,",,,30,",,0",10,",,0",21,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/11/75,,,,,,,0,",,0,0700",0,",,0,",,,35,",,0",12,",,0",15,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/12/75,,,,,,,0.04,",,0,0700",0,",,0,",2,",,0,",34,",,0",15,",,0",30,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/13/75,,,,,,,0,"T,,0,0700",0,",,0,",1,",,0,",36,",,0",17,",,0",19,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/14/75,,,,,,,0,",,0,0700",0,",,0,",,,34,",,0",17,",,0",21,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/15/75,,,,,,,0,",,0,0700",0,",,0,",,,39,",,0",18,",,0",21,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/16/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",41,",,0",19,",,0",27,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/17/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",48,",,0",24,",,0",27,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/18/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",50,",,0",25,",,0",33,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/19/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",50,",,0",31,",,0",37,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/20/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",53,",,0",33,",,0",36,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/21/75,,,,,,,0,"T,,0,0700",0,",,0,",0,",,0,",54,",,0",28,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/22/75,,,,,,,0.37,",,0,0700",1,",,0,",1,",,0,",35,",,0",28,",,0",33,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/23/75,,,,,,,0.02,",,0,0700",0,",,0,",0,",,0,",38,",,0",28,",,0",31,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/24/75,,,,,,,0.51,",,0,0700",0,",,0,",0,",,0,",42,",,0",30,",,0",33,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/25/75,,,,,,,0.08,",,0,0700",0.8,",,0,",0,",,0,",44,",,0",27,",,0",28,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/26/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",37,",,0",11,",,0",14,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/27/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",30,",,0",12,",,0",22,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/28/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",30,",,0",22,",,0",28,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/29/75,,,,,,,0.3,",,0,0700",0,",,0,",0,",,0,",34,",,0",26,",,0",33,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/30/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",33,",,0",24,",,0",25,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,3/31/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",29,",,0",15,",,0",18,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/1/75,,,,,,,0.08,",,0,0700",0.8,",,0,",1,",,0,",38,",,0",17,",,0",27,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/2/75,,,,,,,0.21,",,0,0700",2.1,",,0,",3,",,0,",41,",,0",23,",,0",24,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,4/3/75,,,,,,,0.87,",,0,0700",8.7,",,0,",10,",,0,",30,",,0",21,",,0",24,",,0,0700",,,,,,,,,,,,,,
